"produk_gambar","produk_url","produk_nama","produk_nama_url","produk_spesifikasi","produk_harga_name"
"https://pemmz.com/pub/media/catalog/product/cache/5d050b79bdc5a2702f8b48e75592b2a0/e/z/ezgif.com-gif-maker_1.jpg","https://pemmz.com/hp-pavilion-13-bb0062tu-i5-1135g7-ssd-512gb-silver.html","HP PAVILION 13 - bb0062TU | i5-1135G7 | SSD 512GB…","https://pemmz.com/hp-pavilion-13-bb0062tu-i5-1135g7-ssd-512gb-silver.html","13.3"" FHD, Intel Core i5-1135G7, 8GB DDR4, SSD 512GB, Intel Iris Xe,…","Rp 11,499,000"
"https://pemmz.com/pub/media/catalog/product/cache/5d050b79bdc5a2702f8b48e75592b2a0/e/z/ezgif.com-gif-maker.jpg","https://pemmz.com/hp-pavilion-13-bb0063tu-i7-1165g7-ssd-512gb-silver.html","HP PAVILION 13 - bb0063TU | i7-1165G7 | SSD 512GB…","https://pemmz.com/hp-pavilion-13-bb0063tu-i7-1165g7-ssd-512gb-silver.html","13.3"" FHD, Intel Core i7-1165G7, 8GB DDR4, SSD 512GB, Intel Iris Xe,…","Rp 13,499,000"
"https://pemmz.com/pub/media/catalog/product/cache/5d050b79bdc5a2702f8b48e75592b2a0/e/z/ezgif.com-gif-maker.jpg","https://pemmz.com/hp-pavilion-13-bb0063tu-i7-1165g7-ssd-512gb-silver.html","HP PAVILION 13 - bb0063TU | i7-1165G7 | SSD 512GB…","https://pemmz.com/hp-pavilion-13-bb0063tu-i7-1165g7-ssd-512gb-silver.html","13.3"" FHD, Intel Core i7-1165G7, 8GB DDR4, SSD 512GB, Intel Iris Xe,…","Rp 13,799,000"
"https://pemmz.com/pub/media/catalog/product/cache/5d050b79bdc5a2702f8b48e75592b2a0/s/l/sl1_6_1_1_2_2_1_1_1_1_1.jpg","https://pemmz.com/hp-14s-fq0022au-athlon-3150u-ssd-512gb-silver.html","HP 14S - fq0022AU | Athlon-3150U | SSD 512GB |…","https://pemmz.com/hp-14s-fq0022au-athlon-3150u-ssd-512gb-silver.html","14""HD,Athlon™ Silver 3150U, 8GB DDR4,SSD 512GB,INTEGRATED…","Rp 6,299,000"
"https://pemmz.com/pub/media/catalog/product/cache/5d050b79bdc5a2702f8b48e75592b2a0/n/e/new3_1_1_1.jpg","https://pemmz.com/hp-14s-cf2076tu-i3-10110u-ssd-256gb-gold.html","HP 14S - cf2076TU | i3-10110U | SSD 256GB | GOLD","https://pemmz.com/hp-14s-cf2076tu-i3-10110u-ssd-256gb-gold.html","14""HD, Core™ i3-1005G1,4GB DDR4,256GB SSD,INTEGRATED GRAPHICS,WIN…","Rp 6,499,000"
"https://pemmz.com/pub/media/catalog/product/cache/5d050b79bdc5a2702f8b48e75592b2a0/n/e/new3_1_1.jpg","https://pemmz.com/hp-14s-cf2033tx-i5-10210u-ssd-512gb-gold.html","HP 14S - cf2033TX | i5-10210U | SSD 512GB | GOLD","https://pemmz.com/hp-14s-cf2033tx-i5-10210u-ssd-512gb-gold.html","14""HD, i5-10210U,4GB DDR4,SSD 512GB,INTEGRATED AMD GRAPHICS,WIN 10+OHS","Rp 8,999,000"
"https://pemmz.com/pub/media/catalog/product/cache/5d050b79bdc5a2702f8b48e75592b2a0/s/l/sl1_6_1_1_2_2_1_1_1_1.jpg","https://pemmz.com/hp-14s-cf2032tx-i5-10210u-ssd-512gb-silver.html","HP 14S - cf2032TX | i5-10210U | SSD 512GB | SILVER","https://pemmz.com/hp-14s-cf2032tx-i5-10210u-ssd-512gb-silver.html","14""HD, i5-10210U,4GB DDR4,SSD 512GB,INTEGRATED AMD GRAPHICS,WIN 10+OHS","Rp 8,999,000"
"https://pemmz.com/pub/media/catalog/product/cache/5d050b79bdc5a2702f8b48e75592b2a0/n/e/new3_1.jpg","https://pemmz.com/hp-14s-dq2053tu-i5-1135g7-ssd-512gb-gold.html","HP 14S - dq2053TU | i5-1135G7 | SSD 512GB | GOLD*","https://pemmz.com/hp-14s-dq2053tu-i5-1135g7-ssd-512gb-gold.html","14""FHD, i5-1135G7,8GB DDR4,SSD 512GB,INTEGRATED GRAPHICS,WIN 10+OHS","Rp 9,199,000"
"https://pemmz.com/pub/media/catalog/product/cache/5d050b79bdc5a2702f8b48e75592b2a0/s/l/sl1_6_1_1_2_2_1_1_1.jpg","https://pemmz.com/hp-14s-dq2052tu-i5-1135g7-ssd-512gb-silver.html","HP 14S - dq2052TU | i5-1135G7 | SSD 512GB | SILVER","https://pemmz.com/hp-14s-dq2052tu-i5-1135g7-ssd-512gb-silver.html","14""FHD, i5-1135G7,8GB DDR4,SSD 512GB,INTEGRATED GRAPHICS,WIN 10+OHS","Rp 8,999,000"
"https://pemmz.com/pub/media/catalog/product/cache/5d050b79bdc5a2702f8b48e75592b2a0/s/l/sl1_6_1_1_2_2_2.jpg","https://pemmz.com/hp-14s-fq0055au-athlon-3050u-ssd-512gb-silver-2.html","HP 14S - fq0055AU | Athlon-3050U | SSD 512GB |…","https://pemmz.com/hp-14s-fq0055au-athlon-3050u-ssd-512gb-silver-2.html","14""HD,Athlon™ Silver 3050U,4GB DDR4,SSD 512GB,INTEGRATED…","Rp 6,099,000"
